id,campaign_id,coupon_id,customer_id,redemption_status
117578,8,725,45,0
123337,29,265,334,0
46642,13,281,408,0
10510,13,625,577,0
14347,13,480,414,0
58994,13,771,844,0
63199,12,1075,1017,0
88015,12,783,1412,0
39163,13,1025,1075,0
16478,13,766,643,0
36209,30,256,451,0
100605,13,127,995,0
1422,4,651,1040,0
69724,8,72,1266,0
44369,13,1065,752,0
124315,2,559,183,0
113415,5,967,1152,0
111896,26,306,1287,0
59783,13,268,321,0
9947,5,1105,1551,0
20901,13,27,1321,0
113996,13,891,286,0
41321,13,117,1580,0
105431,26,338,814,0
20602,4,935,1071,0
42889,9,19,690,0
63572,13,162,422,0
7494,13,601,577,0
12025,13,121,163,0
21873,8,979,163,0
73154,7,986,1046,0
81697,5,455,1223,0
107750,11,980,421,0
35695,30,325,262,0
29978,30,331,937,0
46588,10,934,711,0
112922,13,169,1303,0
31149,8,983,967,0
30106,13,131,1034,0
49437,28,378,583,0
70338,30,563,1290,0
72093,13,886,932,0
121256,13,850,988,0
37288,11,506,1216,0
54614,11,669,793,0
49908,29,443,1099,0
124550,13,705,718,0
105235,2,583,679,0
123608,12,107,869,0
99744,6,677,628,0
50458,8,59,1446,0
40001,13,763,733,0
11156,11,910,604,0
89491,8,46,1164,0
60453,9,705,561,0
72814,13,751,1258,0
37421,13,470,74,0
91581,9,105,709,0
66476,13,142,226,0
54092,8,755,1003,0
69374,11,1012,1058,0
29866,8,806,12,0
91185,13,468,9,0
15057,13,418,926,0
54385,8,920,1427,0
43218,8,11,1085,0
16232,13,796,437,0
74867,13,121,593,0
10079,13,586,313,0
43758,8,296,532,0
5830,29,873,285,0
14012,8,79,146,0
115126,26,936,588,0
69716,8,902,1189,0
110701,5,689,763,0
88820,13,1032,649,0
76476,26,306,1458,0
10243,8,296,1127,0
89937,11,669,1386,0
53371,13,131,1059,0
1478,8,8,1085,0
11698,13,608,14,0
79631,13,954,844,0
89502,8,1063,301,0
3773,29,674,865,0
116960,8,73,161,0
18284,13,588,969,0
47645,8,88,196,0
92859,13,517,1166,0
31738,8,1018,1208,0
30148,9,607,553,0
9138,13,23,1367,0
51047,9,870,521,0
21410,8,694,1578,0
118112,8,705,1146,0
66782,8,71,58,0
74535,8,616,82,0
122186,2,583,1012,0
34513,26,407,1423,0
86201,30,348,88,0
57630,13,153,1493,0
98455,8,46,380,0
99647,8,537,424,0
124054,12,109,711,0
85956,26,377,1436,0
106637,26,358,1375,0
94928,26,875,171,0
78960,12,492,1408,0
31520,8,674,1185,0
21566,8,558,167,0
105737,13,1100,154,0
34390,9,575,894,0
28930,26,298,103,0
121985,2,642,635,0
29555,30,666,207,0
359,26,797,214,1
34186,8,283,785,0
111013,9,18,1099,0
21578,13,608,329,0
62724,13,992,1238,0
87644,13,517,399,0
121411,9,18,471,0
96079,8,889,366,0
83545,13,145,997,0
47131,8,78,374,0
96714,30,1110,436,0
18300,28,702,787,0
5768,8,722,560,0
22647,8,47,1252,0
19907,13,170,809,0
65361,13,420,45,0
95136,29,443,334,0
6386,13,156,561,0
39556,11,506,1558,0
56195,12,705,1266,0
114198,13,1031,1365,0
73419,8,82,1323,0
127308,8,532,752,0
68481,30,1068,969,0
64665,13,949,1224,0
14662,8,74,500,0
46662,26,764,1397,0
84747,4,651,38,0
102570,29,943,1,0
52605,13,512,283,0
48824,13,281,736,0
89977,8,74,329,0
107935,5,431,1014,0
102874,8,49,462,0
121519,10,279,565,0
92914,7,1102,674,0
99891,7,986,162,0
111435,30,803,513,0
112653,12,107,1319,0
45060,13,881,230,0
104935,13,516,596,0
69771,9,870,580,0
98130,13,891,1076,0
70820,13,610,1538,0
6125,30,576,520,0
52606,30,531,88,0
104092,8,981,44,0
699,5,934,1194,0
99470,13,152,1395,0
99239,13,156,11,0
113857,8,723,277,0
127355,8,276,1276,0
65476,29,619,117,0
97889,26,514,566,1
92050,30,288,561,0
100659,30,346,754,0
36047,13,1112,1011,0
111020,13,119,488,0
120152,13,142,997,0
803,13,1027,854,0
39017,8,481,983,0
99508,10,732,1334,0
105149,13,413,293,0
26041,10,824,1092,0
42977,8,700,1246,0
114694,8,92,1405,0
119854,11,759,240,0
19767,13,434,1480,0
93877,26,435,751,0
116620,7,392,561,0
53899,8,449,414,0
59922,8,744,196,0
53427,13,147,754,0
39085,8,889,1117,0
53263,8,661,784,0
39436,11,910,736,0
1393,5,455,7,0
20579,13,667,1218,0
73757,26,309,82,0
60296,13,530,1072,0
125544,13,608,443,0
98173,8,509,722,0
93985,12,1075,1187,0
112980,8,544,277,0
102164,30,345,1547,0
110327,26,353,1550,0
55469,8,979,917,0
66169,30,939,151,0
112261,13,115,964,0
72997,5,1043,1259,0
125404,30,626,754,0
92660,13,770,1332,0
7379,30,307,610,0
90145,13,692,82,0
98683,26,936,1550,0
35674,13,1070,1238,0
53277,26,1013,1333,0
98243,8,604,441,0
85588,30,872,406,0
31553,8,544,1239,0
28243,13,253,1538,0
103541,13,485,548,0
116448,8,722,1295,0
80217,12,107,1337,0
75664,13,170,983,0
55032,13,796,1312,0
78170,8,989,1137,0
82107,2,1023,153,0
13380,26,694,153,0
43121,29,1035,7,0
63234,13,127,389,0
128485,13,995,363,0
78183,5,689,1544,0
108130,13,644,44,0
40330,8,247,732,0
46862,9,18,443,0
111219,30,1001,547,0
51161,8,624,1313,0
40057,13,954,314,0
91656,8,755,1362,0
56062,5,967,1311,0
21556,12,783,38,0
100778,13,467,1123,0
18911,26,1030,667,0
126061,8,762,937,0
567,13,504,852,0
42523,26,630,1044,0
103758,26,340,303,0
119952,8,61,722,0
76750,13,171,1351,0
52125,26,368,1224,0
59277,8,1063,1450,0
1445,8,513,683,0
66064,11,571,1343,0
82318,8,658,1079,0
80355,5,455,828,0
13269,13,1112,1199,0
95118,30,686,99,0
25595,29,418,1398,0
30689,8,1045,357,0
6585,8,604,862,0
54200,8,1058,1447,0
22854,29,868,659,0
26909,13,1027,1327,0
31862,30,269,1191,0
56161,8,432,1340,0
102455,8,66,735,0
72061,13,1033,502,0
105681,13,942,600,0
46693,12,705,366,0
120491,30,998,675,0
65765,13,281,1043,0
128510,26,1013,1534,0
19496,8,247,269,0
75033,8,57,402,0
121209,11,980,373,0
21930,8,1017,1410,0
75130,30,754,1337,0
69482,8,915,554,0
84945,8,772,1304,0
89926,30,1068,1469,0
95513,13,1114,166,0
15877,12,470,508,0
87103,8,579,829,0
1444,8,49,1300,0
106047,8,100,133,0
74338,8,865,1155,0
20109,12,1075,1043,0
72278,13,601,231,1
85199,8,296,1484,0
8308,30,1004,707,0
80835,9,19,661,0
88202,8,532,631,0
31103,8,567,220,0
84864,8,885,1052,0
38383,8,610,381,0
13327,30,355,517,0
75489,7,986,1199,0
124063,8,1085,1297,0
57785,13,890,741,0
97671,8,928,1525,0
65215,8,537,345,0
94438,8,532,167,0
115229,30,866,833,0
75643,26,867,858,0
118612,8,77,357,0
66891,30,362,417,0
76203,13,561,39,0
124906,9,19,1276,0
107279,8,805,185,0
58913,8,53,27,0
71399,26,739,895,0
117541,13,942,1310,0
39291,12,705,1402,0
61101,4,104,42,0
104699,13,778,879,0
63569,13,418,807,0
65941,13,1021,932,0
128434,8,74,1545,0
76432,11,1044,862,0
101803,13,949,1549,0
83804,9,444,44,0
97927,8,598,944,0
24080,2,673,886,0
40172,13,151,100,0
9928,9,575,1471,0
103094,13,408,514,0
91607,8,550,209,0
125330,9,896,553,0
27077,13,1029,111,0
88878,8,53,684,0
82903,8,69,223,0
8418,29,696,489,0
128337,9,520,1319,0
69256,8,882,445,0
51694,8,558,839,0
55599,13,1031,564,0
110923,8,846,1429,0
70361,8,906,63,0
57503,8,7,1245,0
34260,26,620,969,0
127630,29,265,556,0
24086,8,722,1581,0
116570,8,658,535,0
23019,9,520,570,0
23234,13,667,190,0
3408,26,862,1074,0
45057,13,470,230,0
77912,13,603,119,0
52679,30,261,927,0
38326,13,480,150,0
48272,30,998,1436,0
36160,12,496,295,0
121590,29,538,1115,0
25901,8,424,1523,0
13513,13,679,251,0
43959,7,691,1516,0
67469,9,705,368,0
82632,13,796,1007,0
53207,13,608,1530,0
69933,8,1073,176,0
76404,13,705,1290,0
112020,26,1043,639,0
6708,13,134,1077,0
55370,10,732,1259,0
51273,13,692,1368,0
121670,13,135,1366,0
14612,13,127,494,0
108783,13,1112,763,0
53324,26,658,455,0
121846,26,658,387,0
29122,13,116,149,0
51919,13,763,1115,0
109826,30,1101,175,0
83883,8,71,1383,0
55989,13,165,209,0
23785,3,864,444,0
7051,13,1028,366,0
50904,13,515,880,0
82457,13,165,520,0
14868,8,89,1392,0
77479,13,139,302,0
23012,8,437,678,0
112121,30,421,451,0
58339,13,171,623,0
124061,29,982,1445,0
22072,13,134,143,0
23604,5,967,572,0
17128,11,795,706,0
1046,8,1017,1447,0
39457,11,1044,1372,0
124871,11,913,793,0
51011,9,705,71,0
36712,8,559,1135,0
15603,8,11,745,0
55390,29,787,262,0
78392,9,607,63,0
8689,13,483,455,0
66386,8,882,1458,0
40389,30,866,1379,0
49659,29,896,386,0
84358,11,971,763,0
126804,30,428,435,0
112274,13,141,1215,0
36553,9,896,1147,0
31843,8,53,860,0
113067,13,127,757,0
83649,8,812,538,0
32402,5,1043,88,0
40261,8,511,1112,0
61630,13,146,77,0
113292,7,986,234,0
105245,26,466,1402,0
71995,8,979,1320,0
64905,8,87,679,0
46024,26,660,1423,0
88584,13,155,535,0
46754,9,575,1556,0
59237,11,980,1031,0
80527,13,148,1403,0
22064,13,422,767,0
68744,12,466,1298,0
14337,26,926,869,0
47066,4,791,695,0
120276,8,84,926,0
76095,5,1043,1311,0
107382,2,981,1019,0
8158,30,423,215,0
127978,8,87,1218,0
118115,26,478,834,0
111789,13,418,299,0
120856,13,24,932,0
24094,1,442,930,0
110688,13,117,395,0
72047,13,268,1246,0
106344,8,705,1506,1
115064,8,447,62,0
70459,8,7,590,0
106016,10,662,7,0
121103,30,358,233,0
24110,8,598,999,0
37692,30,914,388,0
3233,8,283,90,0
128267,26,304,93,0
71001,8,292,226,0
1019,8,583,1199,0
107156,30,486,151,0
107345,26,745,1164,0
70969,7,687,1537,0
123784,9,578,1241,0
53456,8,705,116,0
50132,30,261,1467,0
11862,30,314,311,0
39362,26,313,1401,0
60692,30,998,576,0
26961,13,1108,1027,0
64635,13,151,1543,0
3467,5,967,626,0
3342,26,299,214,0
90858,26,471,455,0
94837,5,893,377,0
40108,8,288,808,0
85830,30,358,727,0
11803,13,150,1216,0
26248,11,669,816,0
122542,8,46,338,0
69234,30,342,859,0
9635,7,691,1056,0
88564,26,905,1236,0
123039,8,711,1544,0
12425,13,22,1298,0
105003,13,262,497,0
60461,8,283,678,0
8516,29,785,490,0
7172,30,366,91,0
42325,13,113,1489,0
30600,13,138,782,0
116274,8,51,1358,0
43461,30,683,63,0
43884,8,808,1357,0
102962,8,68,421,0
40763,13,162,155,0
59429,3,823,725,0
115736,8,747,293,0
44763,6,677,772,0
126848,8,13,487,0
8771,9,18,448,0
66378,13,135,130,0
11098,8,707,784,0
31451,29,643,659,0
33234,29,448,669,0
362,8,63,691,0
102068,8,812,320,0
4453,8,6,951,0
126571,13,714,299,0
125613,9,989,468,0
64168,26,862,569,0
30521,8,559,1543,0
76492,13,679,770,0
5118,13,705,257,1
11536,9,607,1185,0
117081,13,167,711,0
122124,8,1045,863,0
31904,8,656,1084,0
20487,26,912,814,0
13108,11,669,952,0
86127,8,906,276,0
24159,13,172,1544,0
32095,26,797,1290,0
8502,13,719,828,0
106799,13,1114,1349,0
114488,8,658,185,0
11125,8,738,798,0
71207,13,909,389,0
47016,8,51,918,0
105671,8,722,209,0
29716,8,738,874,0
49691,8,624,1460,0
71394,30,391,432,0
121963,30,1024,1167,0
3399,30,438,195,0
27590,8,981,668,0
104408,26,694,1418,0
112859,28,315,401,0
89660,13,406,1351,0
46749,30,933,189,0
22038,26,330,1046,0
60930,30,704,637,0
37487,8,744,995,0
121712,8,759,724,0
28502,30,360,490,0
89777,8,470,1547,0
83139,27,399,195,0
118457,13,886,1378,0
13608,13,167,1321,0
7352,13,1033,310,0
88664,8,812,594,1
102414,8,84,1477,0
32687,8,1063,1152,0
25558,11,795,392,0
3198,8,59,41,0
28151,26,767,1258,0
99503,30,269,1405,0
72485,11,669,763,0
66455,13,118,1120,0
114940,8,1085,1014,0
110907,8,81,1165,0
88068,12,107,603,0
107068,8,807,1549,0
71994,4,860,748,0
62069,29,619,677,0
14021,8,727,1464,0
117644,12,470,528,0
123844,13,127,190,0
91363,26,299,639,0
9106,7,392,494,0
59043,11,1012,1023,0
118729,30,924,1544,0
36741,8,658,333,0
25287,8,257,293,0
78531,12,819,1491,0
88540,26,306,365,0
36590,13,744,970,0
8105,13,1033,212,0
84450,13,1007,126,0
125439,13,979,948,0
93187,11,795,1031,0
110223,13,516,899,0
58702,8,72,1313,0
73349,8,88,1233,0
20771,9,287,1319,0
100695,9,705,192,0
8549,13,150,48,0
107351,13,117,899,0
43964,11,1012,161,0
119176,8,58,1188,0
27414,13,133,1190,0
11512,8,430,858,0
81813,30,646,293,0
82073,10,106,1350,0
63424,13,111,564,0
9490,13,465,551,0
34459,12,1075,241,0
85460,29,868,386,0
100937,9,870,1339,0
38846,8,87,1533,0
47487,8,82,132,0
11083,10,1043,1516,0
86740,13,139,1262,0
15486,13,172,333,0
121134,29,896,501,0
119363,9,520,637,0
80244,13,118,744,0
9809,8,817,92,0
126990,13,504,640,0
124060,8,682,357,0
117838,13,1045,1418,0
95683,13,1070,159,0
110002,8,269,760,0
45865,13,786,150,0
95673,13,542,1580,0
65192,13,1056,735,0
87307,29,621,586,0
109288,12,1063,1218,0
75839,13,796,1164,0
107820,13,420,1043,0
48654,8,1045,1159,0
23849,13,164,628,0
119390,11,795,1368,0
17198,4,651,1157,0
63828,10,431,627,0
57643,5,955,414,0
38800,13,483,443,0
118302,13,758,1298,0
91743,11,759,1405,0
23892,8,694,133,0
96585,9,444,181,0
5965,30,531,1481,0
3540,8,656,1411,0
68763,8,604,381,0
95523,12,779,508,0
39552,8,559,1546,0
21313,13,796,1023,0
107896,8,532,1558,0
125370,8,82,176,0
95553,8,705,781,0
27511,9,788,634,0
67504,13,949,713,0
29076,5,934,56,0
33497,8,911,961,0
33992,29,1040,1242,0
1402,29,416,81,0
58005,13,253,946,0
48158,29,538,1110,0
56899,8,47,1523,0
98284,26,313,841,0
16097,8,92,666,0
97471,13,150,631,0
94905,30,747,1534,0
11290,26,309,1287,0
5518,8,700,469,0
69517,26,1006,79,0
41484,13,606,1432,0
66926,11,669,929,0
39974,13,1059,1343,0
10147,30,345,1227,0
13094,13,114,328,0
20334,8,532,7,0
41843,13,118,68,0
55594,13,1100,1015,0
28323,13,756,264,0
103452,8,883,781,0
76302,30,256,550,0
78857,8,494,901,0
43466,26,464,606,0
65466,13,159,1053,0
111071,8,654,309,0
43234,28,1061,1025,0
115071,26,322,111,0
38310,11,1044,709,0
57030,13,653,241,0
10453,8,782,184,0
38912,26,729,626,0
49614,12,470,1341,0
337,9,105,553,0
98198,13,979,495,0
120861,5,1105,226,0
39430,13,118,36,0
20149,8,1045,917,0
27206,12,466,1033,0
77376,8,12,724,0
60459,8,288,1084,0
20718,26,569,1064,0
41531,13,284,1083,0
23196,13,413,1430,0
45992,8,90,1335,0
46458,13,673,1467,0
2082,9,520,868,0
54125,8,72,1255,0
65666,8,709,101,0
37464,8,78,155,0
72201,5,663,464,0
41163,13,815,249,0
85977,13,778,1387,0
103624,13,617,844,0
22709,8,682,944,0
47538,13,516,718,0
42984,30,911,725,0
13466,30,1001,973,0
23687,8,694,236,0
81735,29,985,338,0
112636,30,333,241,0
6526,8,911,200,0
6284,13,512,1012,0
35566,10,280,997,0
20931,30,303,164,0
123901,8,865,72,0
86319,8,433,1197,0
41639,8,46,1080,0
16616,30,1068,637,0
112170,2,347,714,0
29490,10,1043,1305,0
38897,5,967,793,0
91925,8,56,574,0
31946,8,73,1529,0
37176,13,434,548,0
98345,5,431,458,0
27223,26,301,183,0
7474,8,911,1014,0
110744,13,608,23,0
51797,13,1047,1234,0
121063,13,954,603,0
67665,30,1004,1191,0
70367,13,511,470,0
12105,13,944,289,0
70781,30,291,121,0
54656,13,273,677,0
