id,campaign_id,coupon_id,customer_id,redemption_status,kfold
52263,13,422,927,0,0
33870,30,914,766,0,0
54929,8,432,873,0,0
7087,29,943,386,0,0
48757,8,14,1054,0,0
106216,13,726,172,0,0
52879,13,1070,939,0,0
74241,1,523,46,0,0
6224,12,470,538,0,0
11410,8,554,885,0,0
118489,13,166,1157,0,0
92270,11,1012,837,0,0
95936,13,1025,459,0,0
102150,26,851,858,0,0
93883,13,113,1450,0,0
73934,8,283,609,0,0
54943,29,975,960,0,0
17075,13,153,1,0,0
111034,8,10,95,0,0
61228,11,1044,766,0,0
49568,8,67,1036,0,0
60290,30,333,461,0,0
76365,12,779,1312,0,0
70316,13,1112,1317,0,0
48847,26,529,1332,0,0
79727,13,20,1574,1,0
12156,13,865,911,0,0
14884,13,22,235,0,0
6093,3,838,432,0,0
109498,13,771,203,0,0
65464,8,99,851,0,0
74741,13,155,748,0,0
121846,26,658,387,0,0
25185,13,786,1430,0,0
116279,13,110,373,0,0
78791,8,762,809,0,0
96513,11,910,1031,0,0
91028,8,711,748,0,0
33273,8,733,15,0,0
102731,8,276,394,0,0
86442,8,585,456,0,0
73147,8,95,875,0,0
10664,13,1059,1566,0,0
107500,8,269,372,0,0
16625,13,25,1438,0,0
105538,13,890,1069,0,0
125539,8,247,735,0,0
29950,26,862,576,0,0
77284,8,67,915,0,0
51744,13,141,1528,0,0
115751,13,512,1028,0,0
24063,8,494,1,0,0
68851,9,575,814,0,0
43956,29,982,573,0,0
69022,13,995,808,0,0
111049,29,538,1041,0,0
21501,13,734,169,0,0
28224,9,287,74,0,0
88643,8,762,1362,0,0
32349,13,470,1504,0,0
93189,8,1058,352,0,0
107449,28,1061,234,0,0
56028,13,556,1571,0,0
45876,13,386,428,0,0
44144,13,454,508,0,0
15000,13,751,634,0,0
66865,13,694,702,0,0
82546,13,420,590,0,0
107846,13,588,810,0,0
25876,8,70,765,0,0
102546,13,756,222,0,0
70998,9,575,709,0,0
104409,8,658,1152,0,0
18196,13,134,1382,0,0
84769,8,55,131,0,0
4669,8,437,1122,0,0
24302,8,57,1384,0,0
